Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)",Charter Number,Charter Funding Type,IRC,Low Grade,High Grade,"Total 
Enrollment
(Grades 9-12)","CALPADS Unduplicated 
Pupil Count
(CUPC)
(Grades 9-12)","CALPADS Unduplicated Pupil Percentage (CUPP)
(Grades 9-12)","CUPP 
75% or more
(Grades 9-12)
(Y/N)","CALPADS Fall 1 
Certification Status 
(Y/N)"
2021-2022,37,68122,3732179,San Diego,Fallbrook Union High,Fallbrook High,High School District,High Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,9,12,"1,959","1,412",72.08%,N,Y
2021-2022,37,68338,0107078,San Diego,San Diego Unified,Kearny Digital Media & Design,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,355,256,72.11%,N,Y
2021-2022,34,67439,0108951,Sacramento,Sacramento City Unified,Arthur A. Benjamin Health Professions High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,208,150,72.12%,N,Y
2021-2022,37,77107,0136473,San Diego,SBE - Sweetwater Secondary,Sweetwater Secondary,State Board of Education,High Schools In 1 School Dist. (Public),Traditional,N/A,Yes,1903,Directly funded,N,7,12,305,220,72.13%,N,Y
2021-2022,19,64881,1936822,Los Angeles,Pasadena Unified,Pasadena High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"1,671","1,206",72.17%,N,Y
2021-2022,58,72736,5830054,Yuba,Marysville Joint Unified,Lincoln (Abraham) (Alternative),Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,248,179,72.18%,N,Y
2021-2022,43,69427,0116889,Santa Clara,East Side Union High,KIPP San Jose Collegiate,High School District,High Schools (Public),Traditional,N/A,Yes,0976,Directly funded,Y,9,12,536,387,72.20%,N,Y
2021-2022,19,64808,1996388,Los Angeles,Montebello Unified,Montebello Community Day,Unified School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,7,12,18,13,72.22%,N,Y
2021-2022,50,73601,5035902,Stanislaus,Newman-Crows Landing Unified,Orestimba High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,979,707,72.22%,N,Y
2021-2022,36,10363,6069348,San Bernardino,San Bernardino County Office of Education,San Bernardino County Special Education,County Office of Education (COE),Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,P,12,519,375,72.25%,N,Y
2021-2022,19,64725,0125153,Los Angeles,Long Beach Unified,Beach High-Intensive Learning Program,Unified School District,Alternative Schools of Choice,Alternative School of Choice,CEP,No,N/A,N/A,N,9,12,343,248,72.30%,N,Y
2021-2022,47,70516,4730024,Siskiyou,Yreka Union High,Discovery High,High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,65,47,72.31%,N,Y
2021-2022,15,63529,0000000,Kern,Kern High,District Office,High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,Adult,318,230,72.33%,N,Y
2021-2022,19,77289,0109942,Los Angeles,SBE - Los Angeles College Prep Academy,Los Angeles College Prep Academy,State Board of Education,High Schools (Public),Traditional,N/A,Yes,0741,Directly funded,N,9,12,47,34,72.34%,N,Y
2021-2022,13,63164,1331115,Imperial,Imperial Unified,Imperial Ave. Holbrook High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,47,34,72.34%,N,Y
2021-2022,33,67033,3330446,Riverside,Corona-Norco Unified,Centennial High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"3,137","2,271",72.39%,N,Y
2021-2022,36,67892,3636487,San Bernardino,Trona Joint Unified,Trona High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,12,87,63,72.41%,N,Y
2021-2022,01,61259,0137943,Alameda,Oakland Unified,Skyline High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,568","1,136",72.45%,N,Y
2021-2022,19,64436,1936418,Los Angeles,Covina-Valley Unified,Northview High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,268",919,72.48%,N,Y
2021-2022,30,66522,6028633,Orange,Garden Grove Unified,Mark Twain Special Center,Unified School District,Special Education Schools (Public),Special Education School,CEP,No ,N/A,N/A,N,P,12,40,29,72.50%,N,Y
2021-2022,36,67843,3630779,San Bernardino,Redlands Unified,Redlands East Valley High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"1,914","1,388",72.52%,N,Y
2021-2022,36,75044,0114389,San Bernardino,Hesperia Unified,Mirus Secondary,Unified School District,High Schools (Public),Traditional,N/A,Yes,0885,Directly funded,Y,7,12,288,209,72.57%,N,Y
2021-2022,39,68585,0108225,San Joaquin,Lodi Unified,Ronald E. McNair High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"1,846","1,341",72.64%,N,Y
2021-2022,19,64733,0107003,Los Angeles,Los Angeles Unified,Northridge Academy High,Unified School District,High Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,9,12,938,682,72.71%,N,Y
2021-2022,37,68106,0137034,San Diego,Escondido Union High,Audeo Charter School III,High School District,High Schools (Public),Traditional,N/A,Yes,1935,Directly funded,Y,6,12,92,67,72.83%,N,Y
2021-2022,36,67611,3630803,San Bernardino,Barstow Unified,Barstow High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"1,634","1,191",72.89%,N,Y
2021-2022,15,63529,1533330,Kern,Kern High,Highland High,High School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"2,621","1,911",72.91%,N,Y
2021-2022,39,68502,3930054,San Joaquin,Escalon Unified,Vista High (Continuation),Unified School District,Continuation High Schools,Continuation School,Not Participating,No ,N/A,N/A,N,9,12,48,35,72.92%,N,Y
2021-2022,12,62901,1234004,Humboldt,Klamath-Trinity Joint Unified,Hoopa Valley High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,267,195,73.03%,N,Y
2021-2022,34,67447,0121467,Sacramento,San Juan Unified,Aspire Alexander Twilight Secondary Academy,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,1555,Directly funded,Y,6,12,256,187,73.05%,N,Y
2021-2022,37,68338,0107219,San Diego,San Diego Unified,San Diego Science and Technology,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,851,622,73.09%,N,Y
2021-2022,33,10330,6069207,Riverside,Riverside County Office of Education,Riverside County Special Education,County Office of Education (COE),Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,K,12,227,166,73.13%,N,Y
2021-2022,07,10074,0129684,Contra Costa,Contra Costa County Office of Education,Summit Public School K2,County Office of Education (COE),High Schools (Public),Traditional,N/A,Yes,1650,Directly funded,Y,7,12,367,269,73.30%,N,Y
2021-2022,17,64055,1730035,Lake,Middletown Unified,Loconoma Valley High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,11,12,15,11,73.33%,N,Y
2021-2022,01,61192,0138339,Alameda,Hayward Unified,Tennyson High,Unified School District,High Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,9,12,"1,469","1,078",73.38%,N,Y
2021-2022,41,69062,4135687,San Mateo,Sequoia Union High,Redwood High,High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,218,160,73.39%,N,Y
2021-2022,19,75713,1937697,Los Angeles,Alhambra Unified,San Gabriel High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,767","1,297",73.40%,N,Y
2021-2022,33,75176,3330115,Riverside,Lake Elsinore Unified,Ortega High,Unified School District,Continuation High Schools,Continuation School,Not Participating,No ,N/A,N/A,N,9,12,455,334,73.41%,N,Y
2021-2022,43,69427,4330361,Santa Clara,East Side Union High,Apollo High,High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,11,12,162,119,73.46%,N,Y
2021-2022,37,68213,3730991,San Diego,Mountain Empire Unified,Hillside Junior/Senior High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,7,12,34,25,73.53%,N,Y
2021-2022,24,10249,6069199,Merced,Merced County Office of Education,Merced County Special Education,County Office of Education (COE),Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,P,12,325,239,73.54%,N,Y
2021-2022,10,62414,1030451,Fresno,Sanger Unified,Taft Academy,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,174,128,73.56%,N,Y
2021-2022,19,64733,1932920,Los Angeles,Los Angeles Unified,Fairfax Senior High,Unified School District,High Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,9,12,"1,699","1,250",73.57%,N,Y
2021-2022,37,68411,3733953,San Diego,Sweetwater Union High,Mar Vista Senior High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,448","1,066",73.62%,N,Y
2021-2022,01,61259,0106906,Alameda,Oakland Unified,Bay Area Technology,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,0661,Directly funded,Y,6,12,186,137,73.66%,N,Y
2021-2022,56,72546,0125674,Ventura,Oxnard Union High,Condor High,High School District,Alternative Schools of Choice,Alternative School of Choice,CEP,No ,N/A,N/A,N,9,12,486,358,73.66%,N,Y
2021-2022,14,76687,1430057,Inyo,Bishop Unified,Palisade Glacier High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,38,28,73.68%,N,Y
2021-2022,50,71217,0131037,Stanislaus,Patterson Joint Unified,Rising Sun,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,Adult,Adult,19,14,73.68%,N,Y
2021-2022,20,75580,0111443,Madera,Golden Valley Unified,Centennial Independent Study,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,1,12,19,14,73.68%,N,Y
2021-2022,37,68338,3733698,San Diego,San Diego Unified,Madison High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,909,670,73.71%,N,Y
2021-2022,24,65789,2430205,Merced,Merced Union High,Buhach Colony High,High School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"1,827","1,347",73.73%,N,Y
2021-2022,23,65615,0128280,Mendocino,Ukiah Unified,Ukiah Independent Study Academy,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,122,90,73.77%,N,Y
2021-2022,39,68676,6095236,San Joaquin,Stockton Unified,Walton Development Center,Unified School District,Special Education Schools (Public),Special Education School,CEP,No ,N/A,N/A,N,K,12,42,31,73.81%,N,Y
2021-2022,34,75283,3430626,Sacramento,Natomas Unified,Discovery High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,88,65,73.86%,N,Y
2021-2022,36,67710,3630555,San Bernardino,Fontana Unified,Fontana A. B. Miller High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"2,137","1,579",73.89%,N,Y
2021-2022,15,63628,0127209,Kern,Maricopa Unified,Insight School of California,Unified School District,High Schools (Public),Traditional,N/A,Yes,1491,Directly funded,Y,9,12,330,244,73.94%,N,Y
2021-2022,34,67439,0102038,Sacramento,Sacramento City Unified,Sacramento Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,0596,Directly funded,Y,9,12,407,301,73.96%,N,Y
2021-2022,34,76505,0114272,Sacramento,Twin Rivers Unified,SAVA - Sacramento Academic and Vocational Academy,Unified School District,High Schools (Public),Traditional,N/A,Yes,0878,Directly funded,Y,7,12,169,125,73.96%,N,Y
2021-2022,01,61291,0137588,Alameda,San Leandro Unified,San Leandro High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,716","2,009",73.97%,N,Y
2021-2022,33,66977,0125732,Riverside,Alvord Unified,Hillcrest High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,842","1,364",74.05%,N,Y
2021-2022,30,66670,0000001,Orange,Santa Ana Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27,20,74.07%,N,Y
2021-2022,19,75713,1995430,Los Angeles,Alhambra Unified,Independence High (Alternative),Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,216,160,74.07%,N,Y
2021-2022,34,67447,3438504,Sacramento,San Juan Unified,San Juan High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,625,463,74.08%,N,Y
2021-2022,27,73825,2730125,Monterey,North Monterey County Unified,North Monterey County Center for Independent Study,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,139,103,74.10%,N,Y
2021-2022,19,64634,1996529,Los Angeles,Inglewood Unified,City Honors International Preparatory High,Unified School District,High Schools (Public),Traditional,CEP,Yes,2075,Locally funded,N,9,12,302,224,74.17%,N,Y
2021-2022,23,65623,0112300,Mendocino,Willits Unified,La Vida Charter,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,0822,Directly funded,Y,K,12,31,23,74.19%,N,Y
2021-2022,07,61648,0730861,Contra Costa,Antioch Unified,Antioch High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,891","1,405",74.30%,N,Y
2021-2022,36,67876,6036990,San Bernardino,San Bernardino City Unified,Anderson,Unified School District,Special Education Schools (Public),Special Education School,CEP,No ,N/A,N/A,N,K,12,74,55,74.32%,N,Y
2021-2022,49,10496,4930343,Sonoma,Sonoma County Office of Education,Sonoma County Alternative Education Programs,County Office of Education (COE),County Community,County Community School,N/A,No ,N/A,N/A,N,K,12,39,29,74.36%,N,Y
2021-2022,07,61648,0730259,Contra Costa,Antioch Unified,Prospects High (Alternative),Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,282,210,74.47%,N,Y
2021-2022,58,72769,5838305,Yuba,Wheatland Union High,Wheatland Union High,High School District,High Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,9,12,"1,012",754,74.51%,N,Y
2021-2022,33,67157,3331014,Riverside,Nuview Union,Nuview Bridge Early College High,Elementary School District,High Schools (Public),Traditional,N/A,Yes,0368,Locally funded,N,9,12,657,490,74.58%,N,Y
2021-2022,37,68452,3738705,San Diego,Vista Unified,Vista High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,231","1,664",74.59%,N,Y
2021-2022,19,64881,1931674,Los Angeles,Pasadena Unified,Marshall Fundamental,Unified School District,K-12 Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,12,"1,083",808,74.61%,N,Y
2021-2022,47,73684,4731253,Siskiyou,Butte Valley Unified,Butte Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,79,59,74.68%,N,Y
2021-2022,37,67983,0134890,San Diego,Borrego Springs Unified,San Diego Workforce Innovation High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1832,Directly funded,Y,9,12,"2,468","1,844",74.72%,N,Y
2021-2022,19,64733,1931526,Los Angeles,Los Angeles Unified,Carson Senior High,Unified School District,High Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,9,12,"1,406","1,051",74.75%,N,Y
2021-2022,43,69427,4330676,Santa Clara,East Side Union High,San Jose Conservation Corps Charter,High School District,High Schools (Public),Traditional,N/A,Yes,0425,Directly funded,Y,12,Adult,131,98,74.81%,N,Y
2021-2022,17,64022,1735000,Lake,Konocti Unified,Lower Lake High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,8,12,782,585,74.81%,N,Y
2021-2022,37,73569,3735206,San Diego,Oceanside Unified,Oceanside High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,030","1,519",74.83%,N,Y
2021-2022,54,72249,0116368,Tulare,Tulare Joint Union High,Mission Oak High,High School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"1,613","1,208",74.89%,N,Y
2021-2022,37,68338,0114462,San Diego,San Diego Unified,Health Sciences High and Middle College,Unified School District,High Schools (Public),Traditional,CEP,Yes,0876,Directly funded,Y,9,12,598,448,74.92%,N,Y
2021-2022,19,64840,1933647,Los Angeles,Norwalk-La Mirada Unified,John H. Glenn High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,130",847,74.96%,N,Y
2021-2022,42,10421,4230207,Santa Barbara,Santa Barbara County Office of Education,Santa Barbara County Community,County Office of Education (COE),County Community,County Community School,N/A,No ,N/A,N/A,N,5,12,4,3,75.00%,Y,Y
2021-2022,55,72413,5530100,Tuolumne,Summerville Union High,Cold Springs High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,4,3,75.00%,Y,Y
2021-2022,20,75580,0123315,Madera,Golden Valley Unified,Valley Children's Hospital,Unified School District,K-12 Schools (Public),Home and Hospital,N/A,No ,N/A,N/A,N,K,12,4,3,75.00%,Y,Y
2021-2022,27,75150,2730133,Monterey,Big Sur Unified,Pacific Valley (K-12),Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,12,4,3,75.00%,Y,Y
2021-2022,51,10512,0140152,Sutter,Sutter County Office of Education,Pathways Charter Academy,County Office of Education (COE),County Community,County Community School,N/A,Yes,2089,Locally funded,N,K,12,8,6,75.00%,Y,Y
2021-2022,39,68577,0118307,San Joaquin,Linden Unified,Pride Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,44,33,75.00%,Y,Y
2021-2022,24,73619,2430031,Merced,Gustine Unified,Pioneer High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,12,9,75.00%,Y,Y
2021-2022,26,10264,2630028,Mono,Mono County Office of Education,Jan Work Community,County Office of Education (COE),County Community,County Community School,N/A,No ,N/A,N/A,N,1,12,12,9,75.00%,Y,Y
2021-2022,03,10033,0330035,Amador,Amador County Office of Education,County Community,County Office of Education (COE),County Community,County Community School,N/A,No ,N/A,N/A,N,1,12,12,9,75.00%,Y,Y
2021-2022,23,65615,0000001,Mendocino,Ukiah Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,3,75.00%,Y,Y
2021-2022,34,67413,3430550,Sacramento,River Delta Joint Unified,Mokelumne High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,4,3,75.00%,Y,Y
2021-2022,19,65052,0000001,Los Angeles,Temple City Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,3,75.00%,Y,Y
2021-2022,19,64303,1995679,Los Angeles,Bellflower Unified,Bellflower Alternative Education Center,Unified School District,District Community Day Schools,Community Day School,Not Participating,No ,N/A,N/A,N,K,12,8,6,75.00%,Y,Y
2021-2022,10,73965,0000001,Fresno,Central Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,3,75.00%,Y,Y
2021-2022,07,61697,0000001,Contra Costa,John Swett Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,3,75.00%,Y,Y
2021-2022,10,62166,0114355,Fresno,Fresno Unified,Sierra Charter,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,0898,Directly funded,Y,K,12,196,147,75.00%,Y,Y
2021-2022,37,68338,6040083,San Diego,San Diego Unified,Riley/New Dawn,Unified School District,Special Education Schools (Public),Special Education School,CEP,No ,N/A,N/A,N,K,12,76,57,75.00%,Y,Y
2021-2022,04,61515,0434803,Butte,Oroville Union High,Las Plumas High,High School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"1,350","1,013",75.04%,Y,Y
2021-2022,30,66670,0114736,Orange,Santa Ana Unified,Hector G. Godinez,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"2,206","1,656",75.07%,Y,Y
2021-2022,07,61788,0735407,Contra Costa,Pittsburg Unified,Pittsburg Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"3,637","2,731",75.09%,Y,Y
2021-2022,23,65615,2335024,Mendocino,Ukiah Unified,Ukiah High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"1,673","1,257",75.13%,Y,Y
2021-2022,30,66621,3035748,Orange,Orange Unified,Richland Continuation High,Unified School District,Continuation High Schools,Continuation School,Not Participating,No ,N/A,N/A,N,9,12,189,142,75.13%,Y,Y
2021-2022,10,73965,0140269,Fresno,Central Unified,Central Online Home,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,181,136,75.14%,Y,Y
2021-2022,40,75457,4035762,San Luis Obispo,Paso Robles Joint Unified,Liberty High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,10,12,165,124,75.15%,Y,Y
2021-2022,19,64808,0124552,Los Angeles,Montebello Unified,Applied Technology Center,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,451,339,75.17%,Y,Y
